Value,Status,Strand,Chromosome,Gene,CC0,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8,CC9,CC10,CC11,CC12,CC13,CC14,BP0,BP1,BP2,BP3,BP4,BP5,BP6,BP7,BP8,BP9,BP10,BP11,BP12,BP13,BP14,MF0,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14
1628,Verified,W,chr 7,RIM8,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,growth,filamentous growth,filamentous growth of a population of unicellular organisms,growth of unicellular organism as a thread of attached cells,invasive filamentous growth,invasive growth in response to glucose limitation,,,,,,,,,,,,,,,,,,,,,,,,
929,Verified,W,chr 7,DST1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA processing,mRNA processing,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
1028,Verified,C,chr 7,HEM2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,cellular metabolic process,cofactor metabolic process,,,,,,,,,,,,,binding,ion binding,,,,,,,,,,,,,
1442,Verified,C,chr 7,OCH1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein glycosylation,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
650,Verified,C,chr 7,PNC1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,microbody,peroxisome,,,,,,,,,,,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of nucleobase-containing compound metabolic process,regulation of DNA metabolic process,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1514,Verified,C,chr 7,MIG1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
467,Verified,C,chr 7,RPL24A,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,cytoplasmic translation,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
547,Verified,W,chr 7,RPL30,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
1628,Verified,C,chr 7,SCW11,cell part,external encapsulating structure,cell wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
2501,Verified,C,chr 7,CWH41,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein glycosylation,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
2123,Verified,C,chr 7,TRP5,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,cellular amino acid metabolic process,,,,,,,,,,catalytic activity,lyase activity,,,,,,,,,,,,,
1193,Verified,C,chr 7,PGD1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
2156,Verified,W,chr 7,STT3,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein glycosylation,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
2282,Verified,W,chr 7,ALK1,,,,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein phosphorylation,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",kinase activity,,,,,,,,,,,
707,Verified,C,chr 7,GET1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,localization,establishment of localization,transport,vesicle-mediated transport,Golgi vesicle transport,,,,,,,,,,,,,,,,,,,,,,,,,
836,Verified,W,chr 7,CKB1,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,nucleolus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,peptidyl-amino acid modification,,,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
554,Verified,C,chr 7,JAC1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,cellular metabolic process,generation of precursor metabolites and energy,energy derivation by oxidation of organic compounds,cellular respiration,,,,,,,,,,,,,,,,,,,,,,,,,
1511,Verified,W,chr 7,ATE1,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,proteolysis,proteolysis involved in cellular protein catabolic process,,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
3245,Verified,W,chr 7,KAP122,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,transporter activity,substrate-specific transporter activity,peptide transporter activity,protein transporter activity,,,,,,,,,,,
2666,Verified,W,chr 7,PUF4,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,biological regulation,regulation of biological process,regulation of metabolic process,regulation of macromolecule metabolic process,regulation of gene expression,posttranscriptional regulation of gene expression,regulation of translation,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
3206,Verified,C,chr 7,PDR1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
1421,Verified,W,chr 7,ERG4,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,primary metabolic process,lipid metabolic process,,,,,,,,,,,,,catalytic activity,oxidoreductase activity,,,,,,,,,,,,,
758,Verified,C,chr 7,SCL1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,proteolysis,proteolysis involved in cellular protein catabolic process,,,,,,,,,,,,,,,,,,,,,,,,
2339,Verified,C,chr 7,LEU1,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,cellular amino acid metabolic process,,,,,,,,,,catalytic activity,lyase activity,,,,,,,,,,,,,
2756,Verified,C,chr 7,PMA1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,localization,establishment of localization,transport,ion transport,,,,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
3521,Verified,W,chr 7,PMC1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,vacuole,,,,,,,,,,,,biological regulation,regulation of biological quality,homeostatic process,chemical homeostasis,ion homeostasis,cellular ion homeostasis,,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
839,Verified,C,chr 7,COG7,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,,,,,,,,,,,,,,,
1700,Verified,C,chr 7,CDH1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein modification by small protein conjugation or removal,,,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
1049,Verified,C,chr 7,ERG26,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,primary metabolic process,lipid metabolic process,,,,,,,,,,,,,catalytic activity,oxidoreductase activity,,,,,,,,,,,,,
901,Verified,C,chr 7,EFM5,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,peptidyl-amino acid modification,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring one-carbon groups",methyltransferase activity,,,,,,,,,,,
1430,Verified,C,chr 7,SWC4,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,histone modification,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
2234,Verified,W,chr 7,CUL3,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein modification by small protein conjugation or removal,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
1388,Verified,W,chr 7,PEX31,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,microbody,peroxisome,,,,,,,,,,,cellular process,cellular component organization,organelle organization,peroxisome organization,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,Verified,C,chr 7,TFG2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,"transcription factor activity, protein binding",,,,,,,,,,,,,,
755,Verified,W,chr 7,PRP18,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA processing,RNA splicing,,,,,,,,,,,,,,,,,,,,,,,
971,Verified,W,chr 7,ECT1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,primary metabolic process,lipid metabolic process,,,,,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",nucleotidyltransferase activity,,,,,,,,,,,
254,Verified,C,chr 7,STF2,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,response to stimulus,response to chemical,,,,,,,,,,,,,,,,,,,,,,,,,,,,
